id;nome;valor_po;peso;categoria;descricao;raridade
1;Apito de Sinal;0.03;0;AVENTURA;Apito usado para comunicação e sinalização;COMUM
2;Bomba;15;1;AVENTURA;Explosivo usado para demolição ou combate;RARO
3;Bomba de Emaranhamento;18;1;AVENTURA;Explosivo que cria redes e laços;MUITO_RARO
4;Bomba de Fumaça;7;1;AVENTURA;Explosivo que cria cortina de fumaça;RARO
5;Bússola;1;0;AVENTURA;Instrumento de navegação magnética;COMUM
6;Cantil;0.25;0;AVENTURA;Recipiente para transporte de água;COMUM
7;Cobertor;0.05;1;AVENTURA;Tecido para aquecimento e conforto;COMUM
8;Coletor de Chuva;0.40;1;AVENTURA;Dispositivo para captação de água;COMUM
9;Corda de Cânhamo;0.10;1;AVENTURA;Corda resistente de fibra natural;COMUM
10;Corda de Seda;1;1;AVENTURA;Corda leve e resistente de seda;ATIPICO
11;Dinamite;5;0;AVENTURA;Explosivo compacto e poderoso;RARO
12;Filtro de Ar;10;0;AVENTURA;Dispositivo para purificação do ar;ATIPICO
13;Kit de Marmita;0.30;0;AVENTURA;Conjunto de utensílios para cozinhar;COMUM
14;Luneta;3;0;AVENTURA;Instrumento óptico para observação;ATIPICO
15;Mochila de Viagem;0.50;0;AVENTURA;Mochila resistente para aventuras;ATIPICO
16;Mochila Paraquedas;10;2;AVENTURA;Mochila com paraquedas para queda;MUITO_RARO
17;Pederneira;0.05;0;AVENTURA;Ferramenta para criar fogo;COMUM
18;Poção de Cura;5;0;AVENTURA;Poção que restaura pontos de vida;ATIPICO
19;Ração;0.05;0;AVENTURA;Alimento conservado para viagem;COMUM
20;Saco de Dormir;0.20;1;AVENTURA;Saco para dormir ao ar livre;COMUM
21;Tenda;0.50;3;AVENTURA;Abrigo portátil para acampamento;COMUM
22;Tochas;0.20;2;AVENTURA;Fontes de luz portáteis;COMUM
23;Café;0.003;0;COMIDA;Bebida estimulante quente;COMUM
24;Cerveja;0.02;0;COMIDA;Bebida alcoólica fermentada;COMUM
25;Fatia de Pão;0.002;0;COMIDA;Alimento básico de trigo;COMUM
26;Leite;0.001;0;COMIDA;Bebida nutritiva de origem animal;COMUM
27;Pedaço de Carne;0.03;0;COMIDA;Proteína animal preparada;COMUM
28;Pedaço de Queijo;0.01;0;COMIDA;Produto lácteo curado;COMUM
29;Vinho Comum;0.07;0;COMIDA;Bebida alcoólica de uva comum;COMUM
30;Vinho Fino;0.30;0;COMIDA;Bebida alcoólica de uva refinada;ATIPICO
31;Amuleto de Conjuração;1;0;FEITICARIA;Conduíte mágico tipo amuleto;ATIPICO
32;Anel de Conjuração;1;0;FEITICARIA;Conduíte mágico tipo anel;ATIPICO
33;Cajado de Conjuração;1;2;FEITICARIA;Conduíte mágico tipo cajado;ATIPICO
34;Cetro de Conjuração;1;1;FEITICARIA;Conduíte mágico tipo cetro;ATIPICO
35;Cristal de Conjuração;2;0;FEITICARIA;Conduíte mágico tipo cristal;ATIPICO
36;Orbe de Conjuração;2;0;FEITICARIA;Conduíte mágico tipo orbe;ATIPICO
37;Tomo de Conjuração;2;1;FEITICARIA;Conduíte mágico tipo livro;ATIPICO
38;Varinha de Conjuração;1;0;FEITICARIA;Conduíte mágico tipo varinha;ATIPICO
39;Poção de Energia;5;0;FEITICARIA;Poção que restaura pontos de poder;ATIPICO
40;Bolsa de Componentes;2.5;1;FEITICARIA;Bolsa para materiais mágicos;ATIPICO
41;Grimório;5;1;FEITICARIA;Livro de feitiços e conhecimento;ATIPICO
42;Aríete Portátil;1;2;FERRAMENTA;Ferramenta para derrubar portas;ATIPICO
43;Armadilha de Caça;0.80;1;FERRAMENTA;Dispositivo para capturar animais;COMUM
44;Balança de Mercador;1.5;1;FERRAMENTA;Instrumento para pesar objetos;COMUM
45;Cadeado;1;0;FERRAMENTA;Dispositivo de segurança com chave;COMUM
46;Lupa;3;0;FERRAMENTA;Lente de aumento para detalhes;RARO
47;Martelo;0.15;0;FERRAMENTA;Ferramenta de impacto;COMUM
48;Pá;0.20;1;FERRAMENTA;Ferramenta para escavar;COMUM
49;Pé de Cabra;0.20;1;FERRAMENTA;Ferramenta de alavanca;COMUM
50;Pedra de Amolar;0.02;0;FERRAMENTA;Pedra para afiar lâminas;COMUM
51;Picareta;0.20;1;FERRAMENTA;Ferramenta para quebrar pedra;COMUM
52;Pitão;0.02;0;FERRAMENTA;Prego para escalada;COMUM
53;Polia de Tração;0.10;1;FERRAMENTA;Dispositivo para levantar pesos;ATIPICO
54;Rede;0.10;2;FERRAMENTA;Rede para capturar ou carregar;COMUM
55;Lampião;1;1;LUZ;Fonte de luz com combustível;COMUM
56;Lampião Direcional;3.5;1;LUZ;Lampião com foco direcionável;ATIPICO
57;Tocha;0.02;0;LUZ;Fonte de luz temporária;COMUM
58;Vela;0.002;0;LUZ;Fonte de luz de cera;COMUM
59;Extrato de Steinhrifun;3;0;HERBALISMO;Planta medicinal processada;ATIPICO
60;Folha de Khunzari;5;0;HERBALISMO;Planta com propriedades especiais;ATIPICO
61;Folha de Tseverlegee;0.30;0;HERBALISMO;Planta comum medicinal;COMUM
62;Iturikaitera;1;0;HERBALISMO;Planta com efeitos curativos;ATIPICO
63;Leignim;2.5;0;HERBALISMO;Planta rara com propriedades únicas;ATIPICO
64;Ovchjins;0.10;0;HERBALISMO;Planta comum de uso geral;COMUM
65;Raiz de Unenchiluu;5;0;HERBALISMO;Raiz com propriedades medicinais;ATIPICO
66;Semente de Tesrekhur;0.15;0;HERBALISMO;Semente com efeitos especiais;COMUM
67;Uraabokhomos;0.50;0;HERBALISMO;Planta com propriedades alquímicas;COMUM
68;Userchbuioch;0.10;0;HERBALISMO;Planta comum para tratamentos;COMUM
69;Agulha de Sopro;0.015;0;MUNICAO;Projétil para zarabatana;ATIPICO
70;Bala de Chumbo;0.03;0;MUNICAO;Projétil para armas de fogo;RARO
71;Bola de Aço;0.01;0;MUNICAO;Projétil esférico de metal;ATIPICO
72;Virote;0.01;0;MUNICAO;Projétil para besta;COMUM
73;Flecha;0.01;0;MUNICAO;Projétil para arco;COMUM
74;Munição em Rimmugull;10;0;MUNICAO;Munição especial encantada;RARO
75;Ácido;2.5;0;ALQUIMIA;Substância corrosiva;RARO
76;Antitoxina;5;0;ALQUIMIA;Neutralizador de venenos;RARO
77;Cólera de Fogo;15;0;ALQUIMIA;Substância incendiária;RARO
78;Elixir da Verdade;15;0;ALQUIMIA;Poção que força honestidade;RARO
79;Fogo de Alquimista;5;0;ALQUIMIA;Combustível alquímico;RARO
80;Icor da Pestilência;20;0;ALQUIMIA;Substância venenosa potente;RARO
81;Lírio de Sangue;15;0;ALQUIMIA;Ingrediente alquímico raro;RARO
82;Óleo;0.01;0;ALQUIMIA;Combustível comum;COMUM
83;Pó Explosivo;5;0;ALQUIMIA;Substância explosiva;RARO
84;Pólvora;3.5;0;ALQUIMIA;Explosivo em pó;ATIPICO
85;Pomada Cicatrizante;0.50;0;ALQUIMIA;Ungüento curativo;ATIPICO
86;Seiva Negra;30;0;ALQUIMIA;Substância venenosa rara;MUITO_RARO
87;Vayelurat;15;0;ALQUIMIA;Ingrediente alquímico especial;RARO
